store,dept,avg_weekly_demand,annual_demand,safety_stock,reorder_point,eoq,naive_annual_cost,optimal_annual_cost,estimated_savings_pct
1,1,20964.09,1090132.48,2726.75,23690.83,6603.43,28805.11,16508.58,42.69
1,2,45972.2,2390554.22,6318.13,52290.33,9778.66,60065.25,24446.65,59.3
1,3,11334.44,589390.75,1370.53,12704.97,4855.47,16768.05,12138.69,27.61
1,4,36847.48,1916068.94,4890.42,41737.9,8754.58,48659.35,21886.46,55.02
1,5,22821.69,1186727.97,3374.88,26196.57,6889.78,31127.11,17224.46,44.66
1,6,4355.08,226464.26,533.29,4888.37,3009.75,8043.85,7524.36,6.46
1,7,21367.38,1111103.89,2736.22,24103.6,6666.65,29309.23,16666.61,43.14
1,8,35714.6,1857159.16,4565.92,40280.52,8618.95,47243.25,21547.38,54.39
1,9,28015.91,1456827.16,4151.6,32167.51,7633.68,37619.88,19084.2,49.27
1,10,30940.62,1608912.41,4158.64,35099.26,8022.25,41275.78,20055.63,51.41
1,11,24875.42,1293521.59,3267.47,28142.89,7193.11,33694.27,17982.78,46.63
1,12,10563.37,549295.12,1367.79,11931.16,4687.41,15804.21,11718.52,25.85
1,13,38688.31,2011792.21,4815.72,43504.03,8970.6,50960.39,22426.5,55.99
1,14,14384.84,748011.85,1957.54,16342.39,5469.96,20581.05,13674.9,33.56
1,16,24151.06,1255855.19,3684.09,27835.16,7087.61,32788.83,17719.02,45.96
1,17,9102.3,473319.8,1267.76,10370.06,4351.18,13977.88,10877.96,22.18
1,18,5335.59,277450.86,936.29,6271.89,3331.37,9269.49,8328.43,10.15
1,19,1257.29,65379.23,170.79,1428.09,1617.15,4171.62,4042.87,3.09
1,20,4081.46,212235.79,533.91,4615.36,2913.66,7701.82,7284.16,5.42
1,21,7759.38,403487.66,1010.11,8769.49,4017.4,12299.22,10043.5,18.34
1,22,7796.74,405430.64,1095.69,8892.44,4027.06,12345.93,10067.65,18.45
1,23,21111.36,1097790.69,2792.34,23903.7,6626.58,28989.2,16566.46,42.85
1,24,5932.97,308514.51,846.61,6779.58,3512.92,10016.21,8782.29,12.32
1,25,10121.51,526318.4,1454.16,11575.66,4588.33,15251.88,11470.82,24.79
1,26,6716.35,349250.05,1016.42,7732.76,3737.65,10995.43,9344.12,15.02
1,27,1327.33,69021.1,181.41,1508.74,1661.58,4259.16,4153.95,2.47
1,28,593.11,30841.93,77.53,670.64,1110.71,3341.39,2776.78,16.9
1,29,4510.97,234570.32,623.93,5134.9,3063.14,8238.71,7657.84,7.05
1,30,3414.22,177539.23,479.0,3893.22,2664.88,6867.77,6662.19,2.99
1,31,2206.11,114717.58,335.78,2541.89,2142.13,5357.63,5355.31,0.04
1,32,7286.73,378910.02,929.7,8216.43,3893.12,11708.41,9732.81,16.87
1,33,5781.02,300613.11,739.06,6520.08,3467.64,9826.28,8669.1,11.78
1,34,11530.83,599603.25,1557.72,13088.55,4897.36,17013.54,12243.4,28.04
1,35,2533.17,131724.75,346.63,2879.8,2295.43,5766.46,5738.57,0.48
1,36,1451.41,75473.19,231.0,1682.41,1737.51,4414.26,4343.77,1.6
1,37,2800.01,145600.5,354.44,3154.45,2413.3,6100.01,6033.25,1.09
1,38,79827.42,4151025.59,10835.96,90663.37,12885.69,102384.27,32214.23,68.54
1,40,58510.41,3042541.28,7147.95,65658.36,11031.85,75738.01,27579.62,63.59
1,41,1024.43,53270.31,142.56,1166.99,1459.73,3880.54,3649.33,5.96
1,42,7940.33,412896.96,1078.11,9018.44,4063.97,12525.41,10159.93,18.89
1,44,4820.98,250690.86,688.29,5509.27,3166.64,8626.22,7916.61,8.23
1,45,11.79,613.33,3.07,14.86,156.63,2614.74,391.58,85.02
1,46,19183.82,997558.49,2479.94,21663.76,6316.83,26579.77,15792.07,40.59
1,47,6.81,353.9,2.5,9.3,118.98,2608.51,297.45,88.6
1,48,741.97,38582.54,116.25,858.22,1242.3,3527.46,3105.74,11.96
1,49,11431.58,594442.1,1609.61,13041.19,4876.24,16889.47,12190.59,27.82
1,51,27.01,1404.48,4.49,31.5,237.02,2633.76,592.55,77.5
1,52,2355.0,122460.08,348.72,2703.72,2213.23,5543.75,5533.08,0.19
1,54,78.54,4084.13,17.23,95.77,404.18,2698.18,1010.46,62.55
1,55,12010.01,624520.49,1736.29,13746.3,4998.08,17612.51,12495.2,29.05
1,56,3849.63,200180.95,667.33,4516.96,2829.71,7412.04,7074.27,4.56
1,58,3371.96,175341.95,558.82,3930.78,2648.33,6814.95,6620.84,2.85
1,59,564.14,29335.41,107.28,671.42,1083.24,3305.18,2708.11,18.06
1,60,1016.85,52876.18,139.65,1156.5,1454.32,3871.06,3635.8,6.08
1,67,6650.27,345813.94,1022.14,7672.41,3719.21,10912.84,9298.04,14.8
1,71,2660.06,138322.91,368.46,3028.51,2352.22,5925.07,5880.54,0.75
1,72,43824.92,2278895.83,6361.45,50186.37,9547.56,57381.15,23868.89,58.4
1,74,11616.02,604032.79,1559.94,13175.96,4915.42,17120.02,12288.54,28.22
1,77,225.67,11734.67,12.7,238.36,685.12,2882.08,1712.79,40.57
1,78,0.6,31.17,0.26,0.86,35.31,2600.75,88.27,96.61
1,79,33974.79,1766689.23,4724.73,38699.52,8406.4,45068.49,21016.0,53.37
1,80,17195.23,894151.79,2163.9,19359.13,5980.47,24094.03,14951.19,37.95
1,81,29780.54,1548588.17,4187.15,33967.69,7870.42,39825.68,19676.05,50.59
1,82,19914.45,1035551.16,2438.89,22353.33,6436.0,27493.06,16089.99,41.48
1,83,5685.67,295654.68,660.8,6346.47,3438.92,9707.08,8597.31,11.43
1,85,3608.11,187621.93,473.21,4081.33,2739.5,7110.14,6848.76,3.68
1,87,46033.46,2393739.9,6336.69,52370.15,9785.17,60141.82,24462.93,59.32
1,90,82334.82,4281410.6,9888.9,92223.72,13086.5,105518.52,32716.24,68.99
1,91,64238.94,3340425.06,8371.63,72610.57,11559.28,82898.68,28898.21,65.14
1,92,135223.54,7031624.06,17890.41,153113.95,16770.96,171629.42,41927.39,75.57
1,93,71699.18,3728357.48,8980.85,80680.03,12212.06,92223.98,30530.14,66.9
1,94,63047.16,3278452.39,7646.18,70693.34,11451.55,81408.95,28628.89,64.83
1,95,120772.06,6280147.23,15689.97,136462.03,15849.48,153565.08,39623.69,74.2
1,96,33343.25,1733849.05,4560.33,37903.58,8327.9,44279.06,20819.76,52.98
1,97,35207.35,1830782.14,4342.81,39550.16,8557.53,46609.19,21393.82,54.1
1,98,11637.5,605150.19,1408.66,13046.17,4919.96,17146.88,12299.9,28.27
1,99,69.71,3624.99,22.18,91.89,380.79,2687.14,951.97,64.57
2,1,27798.9,1445542.79,4224.27,32023.17,7604.06,37348.62,19010.15,49.1
2,2,65693.78,3416076.78,7241.31,72935.1,11689.44,84717.23,29223.61,65.5
2,3,14335.76,745459.63,1863.65,16199.41,5460.62,20519.7,13651.55,33.47
2,4,45366.5,2359057.8,6205.23,51571.73,9714.03,59308.12,24285.07,59.05
2,5,27907.39,1451184.17,3539.38,31446.76,7618.88,37484.23,19047.21,49.19
2,6,6221.23,323503.85,780.27,7001.49,3597.24,10376.53,8993.11,13.33
2,7,34412.76,1789463.31,5103.67,39516.43,8460.41,45615.94,21151.02,53.63
2,8,58617.24,3048096.71,8218.08,66835.32,11041.91,75871.56,27604.79,63.62
2,9,33901.97,1762902.49,4266.37,38168.34,8397.39,44977.46,20993.47,53.32
2,10,38845.85,2019984.43,5319.77,44165.62,8988.85,51157.32,22472.12,56.07
2,11,23338.8,1213617.51,2871.24,26210.04,6967.4,31773.5,17418.51,45.18
2,12,7736.1,402277.39,1020.9,8757.0,4011.37,12270.13,10028.43,18.27
2,13,46117.96,2398133.88,5680.57,51798.53,9794.15,60247.45,24485.37,59.36
2,14,19797.09,1029448.9,2562.68,22359.77,6417.01,27346.37,16042.51,41.34
2,16,27005.18,1404269.34,4172.35,31177.53,7494.72,36356.47,18736.79,48.46
2,17,13499.68,701983.48,1813.19,15312.87,5298.99,19474.6,13247.49,31.98
2,18,8353.59,434386.83,2170.08,10523.68,4168.39,13041.99,10420.97,20.1
2,19,4044.55,210316.72,570.24,4614.79,2900.46,7655.69,7251.15,5.28
2,20,5748.62,298928.21,772.46,6521.08,3457.91,9785.77,8644.77,11.66
2,21,9841.62,511764.08,1209.49,11051.11,4524.44,14902.02,11311.1,24.1
2,22,12503.37,650175.07,1872.79,14376.16,5099.71,18229.21,12749.27,30.06
2,23,28294.58,1471318.24,4039.61,32334.19,7671.55,37968.23,19178.88,49.49
2,24,7590.31,394696.09,1069.04,8659.35,3973.39,12087.89,9933.48,17.82
2,25,15167.98,788735.13,1968.65,17136.63,5616.89,21559.98,14042.21,34.87
2,26,9259.64,481501.13,1339.4,10599.04,4388.63,14174.55,10971.57,22.6
2,27,1754.7,91244.32,255.57,2010.27,1910.44,4793.37,4776.09,0.36
2,28,798.74,41534.4,108.35,907.09,1288.94,3598.42,3222.36,10.45
2,29,6781.65,352645.69,1016.68,7798.33,3755.77,11077.06,9389.43,15.24
2,30,4981.16,259020.08,652.65,5633.8,3218.82,8826.44,8047.05,8.83
2,31,3511.32,182588.49,423.53,3934.85,2702.51,6989.15,6756.27,3.33
2,32,10632.83,552906.9,1322.33,11955.16,4702.79,15891.03,11756.99,26.01
2,33,7037.6,365955.19,951.52,7989.12,3825.99,11397.0,9564.98,16.07
2,34,17580.37,914179.07,2484.43,20064.8,6047.08,24575.46,15117.7,38.48
2,35,3872.52,201371.07,502.31,4374.83,2838.11,7440.65,7095.26,4.64
2,36,2482.26,129077.67,433.15,2915.41,2272.25,5702.83,5680.62,0.39
2,37,4499.0,233947.81,579.42,5078.42,3059.07,8223.75,7647.68,7.0
2,38,84671.26,4402905.76,12027.09,96698.35,13270.88,108439.08,33177.2,69.4
2,39,1.4,73.01,0.09,1.49,54.04,2601.76,135.1,94.81
2,40,78124.72,4062485.65,9905.03,88029.76,12747.53,100255.91,31868.82,68.21
2,41,2443.15,127043.6,360.66,2803.81,2254.27,5653.93,5635.68,0.32
2,42,8773.71,456232.87,1191.47,9965.18,4271.92,13567.14,10679.8,21.28
2,44,7190.35,373898.32,982.02,8172.37,3867.29,11587.94,9668.23,16.57
